"subject" "activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()" "angle(tBodyAccMean,gravity)" "angle(tBodyAccJerkMean),gravityMean)" "angle(tBodyGyroMean,gravityMean)" "angle(tBodyGyroJerkMean,gravityMean)" "angle(X,gravityMean)" "angle(Y,gravityMean)" "angle(Z,gravityMean)"
"1" "WALKING" 0.269715476421053 -0.0195206578977895 -0.106944576084211 0.927012399263158 -0.305429652210526 -0.0355617090094737 0.0897452061778947 0.0197051359315789 -0.0216026365789053 0.004707550458 -0.102518095533684 0.06762872416 -0.097242951031579 -0.0436719384905263 -0.0462505977702105 -0.573540003568421 -0.573540003568421 -0.676734282021053 -0.571126399825263 -0.742798146873684 -0.668020389336842 -0.542568435896842 -0.696845983368421 -0.136930775135053 0.0173614841168421 -0.00448115143157894 -0.684052423497895 -0.637901574777895 -0.793066265157895 -0.00838783889473684 -0.207521296145263 -0.111994038836842 -0.715098995894737 -0.617003777913684 -0.688574169052632 -0.123669366087368 -0.167095645893684 -0.00411740448410526 -0.632873335147368 0.157737442189474 -0.641687729899579 0.245929547586316 -0.633645274263158 -0.030142342792 -0.757472171305263 0.219783638569474 0.0394566279368421 -0.02132417274 -0.0912629204926316 -0.0342604948042105 -0.708359796105263 0.293358976842105 0.0463289561052632
"1" "WALKING_UPSTAIRS" 0.240531650962264 -0.0370062102754717 -0.0863398204622642 0.305362857358491 0.171944077415094 0.324993979413208 0.0675470073396226 0.0188750252013208 -0.00258262656396226 -0.0480854982066038 -0.0551667854037736 0.128598534565094 -0.0745502343722641 -0.0444949855943396 -0.0527278520339623 -0.39605604290566 -0.39605604290566 -0.526041336981132 -0.456213060132076 -0.636426979056604 -0.454274503507547 -0.402343756034717 -0.550320857924528 -0.229788648033962 0.0598673307150943 0.218807552390943 -0.500366633377359 -0.517347024241509 -0.615742261509434 -0.0680554009433962 -0.212292558418868 -0.00420537408490566 -0.577210927681132 -0.492449705113208 -0.474756798918868 -0.0416177810716981 -0.00724510133962264 -0.052239261090566 -0.369567110718868 0.105573371169811 -0.460885230288679 0.164220645656604 -0.504074288650943 0.0834088797169811 -0.6091522669 0.168945497060189 0.055749224024717 0.0688135942358491 0.0968730848962264 0.0246097985283019 -0.137882723207547 -0.0733158018679245 -0.257896584792453
"1" "WALKING_DOWNSTAIRS" 0.252843618693878 -0.0157823685710204 -0.131380510061225 0.383203230734694 0.200876973061224 0.040455274755102 0.0814601245102041 0.00682059549938776 0.00210711056 -0.0154128443183673 -0.0858028382040816 0.106242884816327 -0.122418875269388 -0.0473009921693878 -0.0542090554244898 -0.490236769755102 -0.490236769755102 -0.692325034081633 -0.510228731469388 -0.763652430408163 -0.663570037551021 -0.548040650136735 -0.666412061632653 -0.282098015318367 0.0267521358142857 -0.223931811367347 -0.696830073877551 -0.658783761428571 -0.813058478163265 -0.0910993099612245 -0.180437756979592 -0.254918695612245 -0.698006078755102 -0.63108733677551 -0.672097298163265 -0.0707801963285714 -0.288487925653061 -0.0288712738816327 -0.602394229142857 -0.000425119673469388 -0.667621322306122 0.181582624030612 -0.607165119591837 -0.155844632568571 -0.773380054285714 0.193379415691837 0.060394248144898 -0.0330960769795918 -0.0255480975183673 0.0421239413469388 -0.156880961428571 -0.132357923265306 -0.0137892513877551
"1" "SITTING" 0.273747409382979 -0.0110537042406383 -0.105829656255319 0.871760016808511 -0.0129447698510638 0.150175299234043 0.0997141723680851 0.00971326706382979 -0.00779114920829788 -0.0633628321142553 -0.066697208012766 0.0369954518723404 -0.092244940893617 -0.0399848941276596 -0.0402813212361702 -0.547664543957447 -0.547664543957447 -0.572352879957447 -0.537930648744681 -0.658091679148936 -0.597782399148936 -0.446493808629787 -0.649547746595745 -0.135562071710638 0.129959350238298 0.127611420404255 -0.585587367446809 -0.522849955028532 -0.744115629574468 0.0305940371744681 -0.147894562276596 -0.0780306263829787 -0.658411070212766 -0.551994633148936 -0.604599436297872 0.114941149471489 0.0307608666680851 0.00778518593617022 -0.562193383446808 0.229794483042553 -0.553972335357447 0.217266327838936 -0.590718051914894 0.138767573085106 -0.675362227021277 0.165804522489362 0.0313933581851064 -0.0403240793617021 0.133601606468085 -0.114216656042553 -0.651658961489362 0.0892760519 -0.0881010090212766
"1" "STANDING" 0.275725566113208 -0.00770127268679245 -0.105643210528302 0.927064061132076 -0.231408512471698 -0.0178112647169811 0.0438709635660377 0.0274284238490566 -0.0186179172132076 -0.0019432298509434 -0.11464986904717 0.086828429545283 -0.101340444773585 -0.0375038107264151 -0.0280775492716981 -0.0997391020524528 -0.0997391020524528 -0.182663489115094 -0.167413247490566 -0.352056441962264 -0.149409461956604 -0.0273610582754717 -0.301999498924528 -0.255182353541509 0.0627789892603774 0.109896981618868 -0.17916268856434 -0.15396137500566 -0.433727172641509 -0.222620798326415 -0.354965286301887 -0.10215315214717 -0.384641569056604 -0.151610068945283 -0.20368141509434 -0.0764095479207547 -0.0268422064490566 -0.0171017156698113 -0.0874125547509434 0.113672328879811 -0.105204258283019 0.110736612011321 -0.258090452843396 0.27681128532 -0.368177759132075 0.199152579528302 0.0292124428113208 0.0799527543207547 -0.0466977369622641 0.0256729578283019 -0.72818055754717 0.242428639471698 0.0331214731698113
"1" "LAYING" 0.2791352624 -0.0166529321406 -0.1135199136 0.9066901622 -0.11428314 0.0631813195 0.072844578674 0.012804387636 0.0055696419406 -0.026130505148 -0.089649382 0.102932406878 -0.096070947844 -0.035676196918 -0.062628248496 -0.53770706364 -0.53770706364 -0.53178289568 -0.54744620106 -0.612156517 -0.569994584 -0.377510866778 -0.647967838 -0.074955338388 0.088575601674 0.1646686085968 -0.5452550298 -0.460277769504 -0.7098879856 0.04589645362 -0.182603689338 -0.02066266354 -0.64393702332 -0.514496388708 -0.58707746368 0.099095748882 -0.01823573584 -0.02266409926 -0.5147668449 0.2382196288 -0.46932137764 0.2474807926626 -0.55080179306 0.148344047666 -0.6151164481 0.221198212608 0.007274397796 0.015748068258 -0.07368431106 0.066562758694 -0.6880564746 0.161313952716 -0.02464336644
"2" "WALKING" 0.274140931254237 -0.0180829259525424 -0.108664587101695 0.29244581220339 0.277223425135593 0.451190671423729 0.0775215166610169 0.0133830165948305 -0.000720386792881356 -0.0322097725254237 -0.0693556401694915 0.0775103147627119 -0.0982763931694915 -0.0427590965423729 -0.0531650834050847 -0.975510357966102 -0.975510357966102 -0.988325925084746 -0.960072246440678 -0.987972041525424 -0.984709047627119 -0.983742322033898 -0.977807704576271 -0.215914992374576 0.206979958625424 0.277164861711864 -0.989787875084746 -0.988624543050847 -0.98255421779661 0.23227173110339 0.0841238750881356 0.175156472572881 -0.984500881186441 -0.972865174915254 -0.982989702881356 0.144930461961017 -0.038095593940678 0.266346631220339 -0.976894023389831 0.175674238354237 -0.986829528474576 0.323660228877966 -0.970949977627119 0.245727967774576 -0.985090931864407 0.18271788059661 -0.0136049793355932 -0.00634581754067796 0.057975211479661 -0.045412273020339 -0.158162279322034 -0.115159161898305 -0.36815762579661
"2" "WALKING_UPSTAIRS" 0.27791313125 -0.0203073303354167 -0.111415854791667 0.940747657916667 -0.0356446206958333 -0.04973664052 0.0689318037708333 0.00772484940416667 0.0069756385 -0.05325863466875 -0.0672093672291667 0.0947400929166667 -0.0929667701666667 -0.0480520311020833 -0.0639897262979167 -0.627581583541667 -0.627581583541667 -0.715425975625 -0.698857074166667 -0.782592722916667 -0.762598669375 -0.613525512708333 -0.650602051875 -0.153111660335417 -0.0625354958770833 -0.046765082641875 -0.771952742916667 -0.702137810208333 -0.737314266041667 -0.01923355475 -0.234469053104167 -0.250507671208333 -0.755324035208333 -0.748868146458333 -0.708681979583333 -0.167255267022917 -0.115440216633333 -0.169079473729167 -0.706001190208333 0.0716196087979167 -0.730699725833333 0.104726963720833 -0.766154214166667 0.103754116875 -0.810069686875 0.140472785583333 0.00944429804583334 -0.0368697868041667 0.132030303958333 -0.04567602796875 -0.881040315833333 0.107867045708333 0.0527968306875
"2" "WALKING_DOWNSTAIRS" 0.270547041510638 -0.0144622158042553 -0.101118910446809 0.268008080212766 0.286882466489362 0.514839876 0.081722759787234 0.0115156387814894 -0.00578563227212766 -0.0360776148723404 -0.0865671336808511 0.081618923 -0.0997909250638298 -0.0389762915510638 -0.0526191676808511 -0.953719335531915 -0.953719335531915 -0.985614662978723 -0.933090495531915 -0.986285156170213 -0.97540711 -0.967432208085106 -0.959044848297872 -0.279868407248511 0.00461847138606383 0.0841261487234043 -0.984906195531915 -0.98272139893617 -0.980150122765957 0.238211613744681 -0.00478566194446809 0.106714244468085 -0.973782560638298 -0.962249067659575 -0.976452933829787 0.0404396068244681 -0.31579223393617 0.220665664148936 -0.954555265106383 -0.0467106521531915 -0.981857033829787 0.288889941021277 -0.958230904042553 -0.070474205006383 -0.982460463829787 0.0849703145723404 0.0316694653446808 0.00976346221276596 0.0740057668 -0.00133363356595745 -0.11827802106383 -0.120335625297872 -0.420244936234043
"2" "SITTING" 0.282866278043478 -0.0159713797454348 -0.10113411376087 0.904743703695652 -0.126618487347826 -0.235585190782609 0.0842511916521739 0.00343598088695652 -0.0139441408984783 -0.0344610236282609 -0.0780766236413044 0.0908877452869565 -0.117107512004348 -0.0475498739347826 -0.0414662362608696 -0.369587275195652 -0.369587275195652 -0.389354367676087 -0.416584586217391 -0.474904431902174 -0.336439576891304 -0.397978034313043 -0.290465370413043 -0.171849617682609 -0.00854928843478261 0.104971610706522 -0.34895708426087 -0.493001606654348 -0.364523998217391 -0.0514972796086957 -0.185617186986304 -0.181033924045652 -0.558913501413043 -0.26424915143913 -0.509000312147826 -0.13822127401087 -0.0672438687673913 -0.141071165847826 -0.256425052565217 0.0862879383956522 -0.279574272347826 0.168587288086957 -0.357809066969565 0.132599254478261 -0.409257374973913 0.170944942934783 -0.0420748126934783 0.00544481896956522 0.0328424334782609 -0.0161572645130435 -0.737878159130435 0.171102661086957 0.18968832023913
